Comment,Designator,Footprint,LibRef,LCSC,Quantity 30 board
CR2032,BT1,BAT_CR2032_WT,CR2032,C5290173,30
"100nF, 100nF DNP, 100nF_DNP","C1, C2, C3, C5, C6, C9, C11, C14, C17, C18, C20, C21, C22, C23, C24, C25, C26, C33, C37, C39, C41, C43, C44, C45, C47, C48, C49, C51, C57, C59, C60, C61, C63, C64, C72, C75, C76, C77, C78, C81, C87, C88, C93, C97, C100, C103, C104, C105, C106, C108, C114, C115, C117, C122, C123, C124, C134, C135, C140, C145, C146, C151, C161, C165, C170, C172, C173, C175, C177, C180, C181, C182, C183, C185, C186, C188, C189, C190, C191, C192, C193, C196, C199, C200, C203, C209, C212, C217, C221, C222, C224, C227, C230, C233, C235, C236, C237, C240, C243, C244, C249, C250, C251, C252, C254, C264, C265, C266, C267, C270, C271, C273, C275, C276, C277, C279, C280, C281, C282, C285, C287, C288, C289, C290, C292, C293, C294, C295, C296, C297, C298, C300, C301, C310, C312, C317, C318, C319, C323, C327, C328",0402C,Cap100nF,C60474,4230
100pF,"C4, C31",0402C,Cap100pF,C541374,60
1uF,"C7, C19, C29, C32, C34, C35, C83, C91, C107, C147, C149, C194, C197, C198, C206, C245, C246, C247, C257, C258, C259, C260, C311, C313",0402C,Cap1uF,C76999,720
4.7nF,"C8, C109, C112",0402C,"Cap4700pF, Cap4.7nF",C106208,90
"47pF, 4.7uF","C10, C13, C133",0402C,"Cap47pF, Cap4.7uF_25V",C541362,90
22uF,"C12, C27, C137, C150, C166, C168, C169, C171, C176, C201, C202, C223, C225, C226, C239",0603C,Cap22uF,C86295,450
100nF,"C15, C36, C53, C54, C55, C56, C68, C69, C70, C71, C73, C84, C85, C129, C131, C144, C148, C152, C154, C155, C156, C157, C158, C195, C207, C213, C303, C324, C325, C329",0402C,Cap100nF_50V,C110251,900
10nF,C16,0603C,Cap10nF_100V0603,C107059,30
100nF,C28,0603C,Cap100nF_100V0603,C113803,30
220nF,"C30, C139, C141, C142, C143, C248",0402C,Cap220nF,C326836,180
4.7uF,"C38, C40, C42, C46, C50, C52, C58, C62, C74, C82, C94, C96, C253, C263, C268, C269, C272, C274, C278",0402C,Cap4.7uF_10V,C368809,570
2.2uF,"C65, C66, C67, C204, C208",0805C,Cap2.2uF_100V,C2981733,150
33pF,"C79, C80, C89, C99, C116, C119, C120, C121, C174, C184, C255, C256, C261, C262","0402C, 0402",Cap33pF,C107005,420
18pF,C86,0402C,Cap18pF,C106202,30
10pF,C92,0402C,Cap10pF,C2168196,30
220pF,"C98, C241, C242",0402C,Cap220pF,C107025,90
"15pF, 15pF_DNP",C101,0402C,Cap15pF,C106997,30
680pF,"C110, C111",0402C,Cap680pF,C107030,60
10nF,"C118, C304, C305, C306, C307",0402C,Cap10nF,C541371,150
100uF,"C125, C126, C127, C128, C302",0805C,Cap100uF,C141660,150
22uF,"C130, C178, C179, C205, C211, C284, C326",0805C,Cap22uF_25V,C86816,210
22uF,"C132, C153, C159, C218, C220, C291, C299",0603C,Cap22uF_16V,C2762594,210
56pF,"C138, C160, C163, C167",0402C,Cap56pF,C107007,120
220uF,"C214, C308, C309",CAPMP7343X310N,T491D227K016AT,C122304,90
1nF,"C231, C232, C286, C321, C322",1206C,Cap1nF_2kV,C23631,150
22nF,C320,0402C,Cap22nF,C107026,30
MBR0540,D1,SOD_123,MBR0540,C116159,30
LMBR140ET1G,D2,SOD_323,LMBR140ET1G,C20622201,30
SS54,"D3, D7",DO-214AC,SS54,C22452,60
BAT54C,D4,SOT_233_N,BAT54C,C2135,30
LED_G,"D5, D6, D8, D9, D15, D16, D18, D19",0603LED_G,LedG0603,C3014182,240
SMAJ58A,D11,DO-214AC,SMAJ58A_1,C2980408,30
1N4148W,D13,SOD_123,1N4148W,C391324,30
BAT54HT1G,D17,SOT323,BAT54HT1G,C21107,30
SI9407BDY-T1-E3,"DMB, DPoE1",SOIC127P600X175-8N,SI9407BDY-T1-E3,C727736,60
RClamp0502B,"DT1, DT2, DT4, DT17, DT28, DT29, DT30, DT31",SOT_523,RCLAMP0502B,C5370962,240
ESD5451N-2/TR,"DT3, DT5, DT6, DT7, DT10, DT11, DT12, DT13, DT14, DT19, DT20, DT21, DT22",0402TVS,ESD5451N-2/TR,C239604,390
TPD4E05U06DQAR,"DT8, DT9, DT15, DT16, DT18, U1, U2, U5, U20, U27, U28, U29",USON-10,TPD4E05U06DQAR,C138714,360
ESD5341N,"DT23, DT24, DT25, DT26, DT27",ESD5341N,ESD5341N,C3021106,150
BST23C152V,"DT32, DT33",SOT_233_N,1110503043,C7529152,60
MMSZ5231B,DZ1,SOD_123,1110501012,C5240371,30
6V 1.1A,"F1, F2, F3, F5, F6, F7, F8",0805_HV,KLM2S110RY,C964940,210
36V 3A,"F4, F9, F10, F11, F12",2920F,2920L300/36GR,C22435908,150
0.15A 60V,"F13, F15, F16, F17",1206F,ASMD1206-005,C135333,120
6V 4A,F14,0805_HV,TLC-PSML400,C2841370,30
120ohm,"FB1, FB2, FB3, FB4, FB5, FB6, FB7, FB14, FB15",0402C,FB120Ohm100MHz_1,C108297,270
BLM18PG181SN1,"FB8, FB9, FB10, FB11, FB12, FB13",0603L,BLM18PG181SN1,C82850,180
3RM090M-5-S,"G1, G2",GDT2030,1110506004,C522561,60
TPS54560DDAR,IC1,SOIC127P600X175-9N,TPS54560,C31966,30
PI3PCIE3412AZHEX,"IC2, IC3, U39",QFN50P350X900X84-43N-R215X765,PI3PCIE3412AZHEX,C705319,90
LAN9513-JZX,IC4,QFN50P900X900X100-65N-S735,LAN9513,C633508,30
SATA30_7P_V_DIP,J1,AMPHENOL_SAT3M2132072TR,SATA_DIP_0,C7500835,30
SATA_IDE_DIP_4Pin,J2,TE_641737-1,SATA_IDE_DIP_0,C589534,30
1-2199230-6,J4,TE_1-2199230-6,1-2199230-6,C4710843,30
HR913550AE,J5,HR913550AE,HR913550AE,C192706,30
"0826-1X1T-GH-F, MP2147GD, MP8765GQ","JPoE, U21, U23, U30, U31","BEL_0826-1X1T-GH-F, QFN_2*3, QFN16P_MP8765","0826-1X1T-GH-F, 1110404132, MP8765GQ",Digikey,150
KEY,"K1, K2, K3, K4, K5, K7, K8",SW_SMT_1,TS-1088-AR02016,C720477,210
2.2uH 3A,"L1, L2",INDM2016,1110301080,C18724414,60
4.7uH,L3,INDM2016,MLP2016H4R7MT0S1,C383380,30
0.68uH,"L4, L9, L10",IND2520,IND_0.68uH,C602002,90
10uH,L5,IND-FXL0630-5R6-M,FXL0630-100-M,C167223,30
2.2uH,L11,IND410x410,FEXL0430A-2R2M,C5378484,30
QMB-09B-03,LS1,CUI_CST-951AP,QMB-09B-03,C96256,30
"3568_LEFT_UP, 010401121, AXK5F80547YG","P1, P2, P3, P3A, P4, P4A","SOCKET_80PIN_0.5MM_UPL, SOCKET_80PIN_0.5MM_UPR, SOCKET_80PIN_0.5MM","3568_LEFT_UP, 3568_RIGHT_UP, 3568_LEFT_DOWN, AXK5F80547YG, 3568_RIGHT_DOWN",C425111,180
HDMI,P5,HDMI,1120202041,C720616,30
HDR2x1,"P6, P24, P35, P38, P41, P43",header2x1,HDR254P_2x1,C2883389,180
PZ254V-12-14P,"P7, P19, P20",HDR254P_2x7,HDR2x7,C492424,90
HR851178A,P8,RJ45_Gigabit,1120202071,C2931908,30
#NAME?,"P9, P10",MOLEX_39-30-1060,39301060,C114098,60
AFD01-S26FCA-00,P11,FPC26,AFD01-S26FCA-00,C18198593,30
USB_A_H_Double,"P12, P33",USB_A_F_W_D,U224-081N-1BR61,C908455,60
TYPE-C,"P13, P18, P61",USB_TYPE-C_S,1120102031,C963370,90
DP5700-12V2A,P14,DP5700-12V2A,DP5700-12V2A,C22358555,30
AFC07-S30FCC-00,P15,FPC30,AFC07-S30FCC-00,C262218,30
M.2_E-Key,P16,M.2_E-Key,1120201188,C410527,30
TFCARD,P17,TF_CARD_SELF,TF-CARD H1.8 SY,C7529391,30
PZ254V-12-16P,P21,HDR254P_2x8,HDR2x8,C492425,30
PZ254V-11-07P,P22,HEADER254_7Pin,Header7Pin,C492406,30
Header 3_2.54DPZ,P25,HEADER 3_2.54_DPZ,Header 3_2.54DPZ,C2937625,30
SMA-KWE,P26,RF,BWSMA-KWE-Z001,C496551,30
AS0BC21-S40BB-7H,P27,M.2_B_4G5G,M.2_B-4G&5G,C2761526,30
MIS22-S1F1-2000-A,P28,MICRO_SIM_ZTS,MIS22-S1F1-2000-A,C22357905,30
1803293,"P30, P57",HEADER 4_3.81_2EDGR,1120203036,C480536,60
USB_TYPEC,P31,USB_TYPEC_SMT,DX07S024JJ3R1300,C134111,30
GMI6050P-52db,"P32, P42",MIC 2*5,1120202094,C233947,60
DC-044B-D025,P34,CUI_PJ-082BH,DC-042C,C3001296,30
USB 3.0,P40,USB3.0_A,1120202072,C7501850,30
PJ-393 8PJ,P45,PJ-393_8PJ,PJ-393 8PJ,C668609,30
BX-PH2.0-2PZZ,P46,PH2.0_2P_V,BX-PH2.0-2PZZ,C18077744,30
PH2.0-4PS,P47,PH2.0_4P_V,BX-PH2.0-4PZZ,C18077746,30
BSS138BKS,"Q1, Q2, Q3, Q11, Q12",SOT-363,UM6K1NTN_0,C5224290,150
BC807,"Q4, Q5, Q9, Q10",SOT-23,"BC807-40,215",C57316,120
2SK3018,"Q6, Q7, Q13",SOT323,1110505016,C194460,90
S8050,Q8,SOT_233_N,S8050,C111272,30
AO 3400A,"Q21, Q24",SOT_233_W,1110505027,C347475,60
AO 3401,Q22,SOT_233_W,1110505019,C727156,30
4.7K,"R1, R15, R16, R23, R41, R47, R48, R54, R57, R58, R59, R60, R61, R62, R63, R64, R74, R75, R84, R85, R87, R88, R89, R90, R91, R92, R93, R94, R144, R145, R148, R168, R180, R181, R199, R201, R202, R208, R226, R234, R248, R290, R291, R292, R355","0402, 0402R",Res4.7k,C105871,1350
200K_1%,"R2, R103, R107, R171",0402R,Res200k_1%,C114763,120
22R,"R3, R4, R5, R6, R7, R9, R49, R50, R51, R65, R66, R69, R70, R71, R72, R76, R77, R78, R81, R82, R110, R111, R112, R113, R114, R122, R155, R156, R158, R251, R252, R255, R256, R257, R260, R261, R262, R264, R265, R266, R268, R280, R281, R284, R303, R304, R305, R306, R307, R308, R309, R310, R311, R312, R313, R314","0402R, 0402",Res22R,C114765,1680
294k,R8,0402R,Res294k,C3013161,30
27k,"R10, R26, R31, R86, R117, R276",402,Res27k,C138022,180
2k,"R11, R12, R42, R43",0402R,Res2k,C60488,120
"10k, 10k_DNP","R13, R24, R25, R37, R46, R56, R97, R98, R99, R100, R109, R115, R121, R123, R137, R138, R139,  R170, R173, R192, R193, R196, R220, R228,  R244, R263, R267, R269, R296, R316, R319, R320, R321, R354","0402, 0402R","Res10k, Res10k_DNP, Res3",C60490,1020
"1k, 1k_DNP","R14, R135, R140, R151, R153, R183, R187, R222, R273, R294, R295, R300, R337","0402, 0402R",Res1k,C106235,390
57.6k,R17,0402R,Res57.6k,C185408,30
"0R, 0R_DNP","R18, R32, R55, R120, R124, R125, R142, R174, R209, R210, R246, R270, R277, R278, R279, R282, R283, R287, R288, R315, R323, R324, R325, R326, R328, R342, R343, R344, R345, R346, R347, R348, R349, R351, R352, R353, R356, R357, R358, R359, R360",402,Res0R,C60485,1230
97.6k,R19,0402R,Re97.6k,C62742,30
5.62k,R20,0402R,Res5.62k,C227157,30
143k,R21,0402R,Res143k,C375492,30
10.2k,R22,0402R,Res10.2k,C226746,30
100k,"R28, R136, R141, R157, R166, R182, R184, R185, R215, R224, R227, R271, R274, R275, R285, R289, R301","0402, 0402R",Res100k,C60491,510
4.7R,R29,402,Res4.7R,C25121,30
3.65M,R30,0603R,Res3.65M,C407525,30
150k,R33,402,Res150k,C93947,30
5.1K 1%,"R34, R35, R36, R40, R129, R130",0402R,Res5.1k1%,C105872,180
470R,R38,402,Res470R,C25117,30
20k,"R39, R177",402,Res20k,C93942,60
49.9R,"R44, R118, R119, R127, R133, R134, R329, R330, R333, R334",402,Res49.9R,C87044,300
1.8k,"R45, R143, R212","0402, 0402R",Res1.8k,C163481,90
"1.5k DNP, 1.5k","R53, R80, R146, R147","0402R, 0402",Res1.5k,C114759,120
2.49k,"R67, R83",0402R,Res2.49k,C145071,60
330R,"R68, R73, R95, R96, R169, R331, R332","0402R, 0402",Res330R,C105875,210
59R,"R101, R102, R105, R106",0402R,Res59R,C2077113,120
44.2K_1%,"R104, R108",0402R,Res44.2k_1%,C25895,60
100R,"R116, R132, R149, R242, R258","0402R, 0402",Res100R,C106233,150
3k,R126,402,Res3k,C137987,30
6.8k,R128,402,Res6.8k,C93940,30
12k,"R131, R317",402,Res12k,C114760,60
1.2k,R150,402,Res1.2k,C138040,30
2.2R,"R159, R160, R162, R164",402,Res2.2R,C25101,120
1M,R165,402,Res1M,C138033,30
15k,R167,402,Res15k,C114761,30
12.4k,R172,402,Res12.4k,C723611,30
510R,"R175, R176, R238, R243",402,Res510R,C137860,120
47K,"R178, R188, R189, R203, R217, R219, R236, R247, R286, R302",402,Res47k,C25792,300
200R,"R179, R186, R191, R194, R250, R293, R298, R299",402,Res200R,C114764,240
33K_1%,R197,0402R,1110103084,C5455470,30
10R,"R198, R318, R335",402,Res10R,C138066,90
2.2R,"R200, R207, R214, R216, R218, R221, R223, R225",402,Res2_2R,C25158,240
499R,"R204, R205, R206, R229, R230, R231, R232, R233",0402R,Res499R,C137970,240
2.2M,"R211, R213",0402R,Res2.2M,C11490,60
